Servicio,Distrito,Medidor
118425,18,9118248
386015,47,9117635
725190,1,9115979
1590314,1,9118107
1590321,1,9118117
1673567,1,9117597
278990,28,9117921
168050,8,9118197
2495490,1,9028823
418844,1,9117079
418797,1,9116397
420642,1,9117733
585886,1,9119732
747038,1,9119229
419423,1,9116881
340225,22,9017856
1192792,1,9116507
316231,5,9120003
2724130,1,9117043
1068027,36,9118863
217666,28,9119436
453432,1,9117838
685841,1,9117841
168264,8,9115824
335761,23,9118904
309343,3,9119987
829871,1,9116461
467321,1,9119488
743989,1,9117856
1071857,1,9118597
1169823,1,9116000
2764329,1,9116716
100484,18,9119421
421589,1,9117582
608643,1,9116622
437658,1,9117345
2774707,1,
419288,1,9118523
362381,45,9115564
362156,45,9118097
302320,2,9119991
2713457,1,9116876
2794872,1,9119486
461174,1,9117630
120791,18,9118250
168243,8,9115876
1070449,24,9120125
130094,40,9118820
2813611,46,
361595,46,9119310
886256,1,9119699
419102,1,9116525
702938,1,9116959
423362,1,9116524
550946,1,9116834
899700,1,9072056
334815,23,9119316
419926,1,9119085
291500,4,9120009
619371,1,9118503
2831652,1,
882197,1,9103030
428238,1,9116419
419431,1,9116012
420971,1,9117781
2842075,8,9117910
2842180,47,9119894
128054,43,9018188
2833662,1,9008668
957867,1,9116654
816592,1,9119589
419633,1,9119317
278623,29,9120546
2858911,1,9116478
908685,1,9115681
2862383,1,9118968
2862387,1,
1168001,37,9022287
589137,1,9120769
460526,1,9117889
2514084,1,9118646
2871466,9,9120923
279149,28,9117488
279144,28,9117485
419147,1,9118545
814173,1,9116031
403662,47,9119194
1359325,47,9119846
829682,20,9119934
851655,18,
100214,18,9118767
127363,35,9102794
903956,8,9115863
127362,35,9115662
951597,1,9118077
794994,1,9116983
421606,1,9117338
1268143,47,9118011
419184,1,9117845
278425,33,9115862
2733506,1,9117600
655437,1,9120025
361537,46,9119312
361538,46,9119948
2897162,1,
502721,1,9117181
2899897,28,9118891
2781439,6,9118405
2905222,1,9117621
637569,1,9116606
877054,1,9117164
873013,1,9117817
2904745,47,9117398
209902,8,9119442
2910997,1,9008423
360065,22,9118850
360062,22,9102966
279459,28,9119382
419073,1,6000011
2918108,28,9119419
2903156,1,9117804
168838,12,9102945
100433,18,9043764
2815084,28,9119649
330333,28,9017516
207658,8,9115764
2900271,1,9116994
278919,28,9119637
815775,28,9005047
329673,6,9103049
360412,26,9115766
2923804,1,9118229
419109,1,9116899
880560,36,9115535
2941984,1,9119883
128010,42,9117536
279155,28,9115797
2891138,1,9118622
419040,1,9115980
278604,29,9118213
168823,8,9119210
846326,1,9118076
2954257,26,9103015
168821,8,9119201
278954,28,9119439
419086,1,9116491
2954638,37,9027113
1272312,1,9117927
361605,46,9119596
2959194,46,9118001
1166874,8,9115761
1176382,1,9117765
419212,1,9117004
548455,1,9117671
480733,1,9118054
523912,1,9119337
2866383,47,9020400
485968,1,9117207
1189083,46,9118014
127198,35,9117548
461205,1,9118291
360375,25,9103027
2807347,8,9117907
123387,20,9119886
421449,1,9103075
508758,1,9120068
420122,1,9119909
118055,18,9021587
2741198,1,9117544
211248,8,9119328
362335,45,9119239
2873852,47,9102963
274058,28,9117462
168609,8,9002053
279406,28,9118744
168845,12,9119430
100041,21,9115680
362369,45,9115772
329400,2,9118962
707635,1,9118610
917553,3,9119621
947597,46,9119935
3004561,1,
419685,1,9116621
420217,1,9118327
127647,37,9016503
168247,8,9120854
1359617,1,9116388
360478,27,9103028
621548,1,9116672
773093,1,9118517
421705,1,9102801
278627,29,9115869
986445,26,9119765
2999724,1,9118483
2999729,1,9119345
2732961,1,9117786
757247,1,9116633
362992,47,9102742
463803,1,9008803
1341434,1,9116778
2883807,46,9102872
1414314,1,9116868
146504,41,9029697
835532,23,9118966
360354,24,9118487
127412,36,9118858
3007097,6,9117482
2931927,1,
3009176,1,
909250,8,9115887
2754126,1,9117593
424776,1,9117828
870853,47,9119374
100466,18,9103098
903121,1,9116779
3033029,28,9119554
975690,1,9119468
279500,28,9117423
279442,28,9120893
2984892,36,9118835
2895065,1,9118671
419962,1,9117342
2751003,1,9102862
1033330,28,9115791
1067045,2,9115737
2953685,1,9119049
2856592,32,9115706
3018227,28,9115792
1031686,47,9118974
421358,1,9117735
3033960,8,9118361
2838670,1,9117874
838433,35,9007703
488600,1,9117770
419111,1,9116649
419656,1,9116975
972652,22,9118473
963853,28,9117399
753030,1,9118482
491788,1,9117800
365941,45,9119943
127212,35,9117565
199423,8,9119351
900184,1,9115991
419174,1,9117492
119828,18,9119916
419901,1,9117979
191405,8,9118391
975526,45,9119858
157940,35,9117577
588243,1,9102909
753665,1,9116846
2808426,1,9116471
420025,1,9116440
569246,1,9117603
842940,1,9119785
1025308,35,9117545
894776,1,9117159
168639,8,9118911
400565,47,9118153
419858,1,9115990
418873,1,9116060
727902,1,9117321
1050757,18,9118306
127224,35,9117574
1365260,1,9119726
2842317,1,9116405
834837,46,9103057
363102,47,9118989
2914712,8,9118170
127843,40,9118854
419334,1,9117554
420671,1,9117367
360149,23,9118550
854932,1,9116811
1269584,1,9119808
362359,45,9118262
487674,1,9118440
2969451,1,9119496
1135952,1,9103037
419496,1,9118252
419119,1,9119567
